  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    3.425     7       -16.1     -17.1       1.7272     0.0005     1.6827     0.0002    0.04297    0.00061 
    3.430     7       -16.2     -17.0       1.7283     0.0004     1.6811     0.0008    0.04447    0.00064 
    3.435     7       -16.1     -16.7       1.7258     0.0001     1.6798     0.0012    0.04727    0.00112 
    3.440     7       -16.4     -16.9       1.7232     0.0007     1.6792     0.0012    0.04607    0.00119 
    3.445     7       -16.2     -16.6       1.7317     0.0051     1.6889     0.0024    0.04400    0.00190 
    3.450     7       -16.3     -16.5       1.7590     0.0031     1.7156     0.0012    0.04280    0.00745 
    3.455     7       -16.3     -16.4       1.7905     0.0006     1.7401     0.0006    0.04337    0.00235 
    3.460     7       -16.3     -16.3       1.8101     0.0004     1.7542     0.0003    0.05040    0.00078 
    3.465     7       -16.2     -16.1       1.8154     0.0012     1.7550     0.0013    0.05593    0.00012 
    3.470     7       -16.2     -16.0       1.8108     0.0017     1.7471     0.0020    0.06040    0.00026 
    3.475     7       -16.2     -15.9       1.8084     0.0022     1.7421     0.0023    0.06373    0.00042 
    3.480     7       -16.2     -15.8       1.8151     0.0001     1.7463     0.0005    0.06627    0.00021 
    3.485     7       -16.2     -15.8       1.8202     0.0003     1.7526     0.0005    0.06873    0.00042 
    3.490     7       -16.3     -15.8       1.8210     0.0018     1.7550     0.0014    0.06760    0.00026 
    3.495     7       -16.2     -15.7       1.8239     0.0025     1.7585     0.0019    0.06607    0.00040 
    3.500     7       -16.0     -15.4       1.8370     0.0007     1.7699     0.0005    0.06540    0.00061 
    3.505     7       -16.2     -15.6       1.8427     0.0011     1.7769     0.0009    0.06710    0.00020 
    3.510     7       -16.0     -15.4       1.8402     0.0007     1.7748     0.0006    0.06580    0.00061 
    3.515     7       -16.2     -15.5       1.8282     0.0016     1.7643     0.0012    0.06547    0.00021 
    3.520     7       -16.1     -15.4       1.8221     0.0029     1.7571     0.0019    0.06387    0.00091 
