  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
   10.465     0       -15.9     -16.2       1.8682     0.0187     1.8527     0.0033    0.01555    0.02199 
   10.475     0       -15.6     -16.0       1.8866     0.0012     1.8698     0.0224    0.03180 
   10.490     0       -15.7     -16.0       1.9131     0.0034     1.8679     0.0025    0.04520    0.00475 
   10.495     0       -15.6     -15.9       1.9166     0.0001     1.8709     0.0018    0.04675    0.00049 
   10.500     0       -15.8     -16.0       1.9241     0.0010     1.8777     0.0009    0.04643    0.00154 
   10.505     0       -16.1     -16.3       1.9340     0.0009     1.8859     0.0014    0.04810    0.00171 
   10.510     0       -15.7     -15.9       1.9423     0.0011     1.8930     0.0002    0.04937    0.00102 
   10.515     0       -15.5     -15.7       1.9466     0.0003     1.8953     0.0009    0.05127    0.00064 
   10.520     0       -15.8     -15.9       1.9441     0.0010     1.8917     0.0008    0.05237    0.00142 
   10.525     0       -15.5     -15.6       1.9334     0.0005     1.8813     0.0011    0.05255    0.00163 
   10.530     0       -15.7     -15.8       1.9229     0.0006     1.8700     0.0006    0.05320    0.00099 
   10.535     0       -15.7     -15.7       1.9074     0.0003     1.8584     0.0014    0.04897    0.00118 
   10.540     0       -15.9     -15.9       1.8943     0.0018     1.8506     0.0012    0.04430    0.00198 
   10.545     0       -15.9     -15.9       1.8874     0.0010     1.8467     0.0014    0.04077    0.00145 
   10.550     0       -15.9     -15.8       1.8866     0.0030     1.8456     0.0015    0.04103    0.00411 
   10.555     0       -16.0     -15.9       1.8848     0.0004     1.8457     0.0011    0.03910    0.00089 
   10.560     0       -15.7     -15.6       1.8931     0.0007     1.8527     0.0009    0.03995    0.00106 
   10.565     0       -15.9     -15.8       1.9007     0.0000     1.8602     0.0013    0.04015    0.00163 
   10.570     0       -15.9     -15.7       1.9007     0.0005     1.8600     0.0005    0.04073    0.00074 
   10.575     0       -15.5     -15.5       1.8940     0.0011     1.8561     0.0013    0.03775    0.00290 
   10.580     0       -16.0     -16.2       1.8902     0.0015     1.8485     0.0011    0.04260    0.00113 
   10.595     0       -15.7     -16.0       1.8817     0.0005     1.8476     0.0043    0.03640    0.00240 
   10.600     0       -15.9     -16.3       1.8866     0.0007     1.8485     0.0017    0.03803    0.00104 
   10.605     0       -15.8     -16.2       1.8919     0.0018     1.8511     0.0037    0.04073    0.00343 
   10.610     0       -15.7     -16.0       1.8922     0.0014     1.8537     0.0033    0.04030    0.00042 
   10.615     0       -15.9     -16.3       1.8995     0.0004     1.8543     0.0007    0.04550    0.00099 
   10.620     0       -15.8     -16.2       1.9085     0.0005     1.8666     0.0006    0.04220    0.00057 
   11.805     0       -16.2     -16.4       1.8744     0.0022     1.8444     0.0011    0.02940    0.00156 
   11.810     0       -16.0     -16.2       1.8696     0.0025     1.8377     0.0033    0.03210    0.00014 
   11.815     0       -16.1     -16.3       1.8826     0.0017     1.8492     0.0017    0.03337    0.00190 
   11.820     0       -16.0     -16.2       1.8872     0.0025     1.8554     0.0018    0.03177    0.00075 
   11.825     0       -16.4     -16.7       1.8941     0.0019     1.8631     0.0017    0.03100    0.00026 
   11.830     0       -16.0     -16.3       1.8972     0.0015     1.8677     0.0011    0.02950    0.00072 
   11.835     0       -16.3     -16.6       1.8950     0.0025     1.8661     0.0021    0.02887    0.00049 
   11.840     0       -16.2     -16.5       1.8915     0.0024     1.8633     0.0028    0.02817    0.00051 
   11.845     0       -16.1     -16.5       1.8822     0.0038     1.8568     0.0025    0.02537    0.00196 
   11.850     0       -16.1     -16.4       1.8753     0.0030     1.8520     0.0036    0.02330    0.00161 
   11.855     0       -16.0     -16.3       1.8769     0.0028     1.8530     0.0031    0.02393    0.00127 
   11.860     0       -16.0     -16.3       1.8894     0.0003     1.8621     0.0014    0.02733    0.00119 
   11.865     0       -15.9     -16.1       1.8893     0.0015     1.8591     0.0029    0.03023    0.00180 
   11.870     0       -15.9     -16.1       1.8822     0.0006     1.8511     0.0055    0.03110    0.00586 
   11.905     0       -16.2     -16.2       1.9014     0.0094     1.8624     0.0078    0.03907    0.00163 
   11.910     0       -16.2     -16.1       1.9276     0.0013     1.8850     0.0003    0.04257    0.00159 
   11.915     0       -15.9     -15.8       1.9237     0.0009     1.8855     0.0021    0.03775    0.00134 
   11.920     0       -15.8     -15.7       1.9129     0.0008     1.8796     0.0005    0.03310    0.00141 
   11.930     0       -15.7     -15.5       1.9003     0.0028     1.8687     0.0062    0.03080    0.00283 
   11.935     0       -16.1     -15.9       1.9077     0.0012     1.8742     0.0008    0.03365    0.00078 
   11.940     0       -16.0     -15.9       1.9237     0.0002     1.8840     0.0005    0.03977    0.00070 
   11.945     0       -15.8     -15.9       1.9433     0.0005     1.8988     0.0004    0.04457    0.00006 
   11.950     0       -15.8     -15.9       1.9600     0.0008     1.9118     0.0004    0.04817    0.00047 
   11.955     0       -15.8     -16.0       1.9687     0.0007     1.9180     0.0002    0.05067    0.00055 
   11.960     0       -16.0     -16.2       1.9678     0.0008     1.9158     0.0005    0.05203    0.00031 
   11.965     0       -16.2     -16.5       1.9631     0.0017     1.9106     0.0011    0.05250    0.00060 
   11.970     0       -15.7     -16.0       1.9615     0.0016     1.9093     0.0010    0.05223    0.00061 
   11.975     0       -15.9     -16.2       1.9549     0.0018     1.9044     0.0008    0.05057    0.00100 
   11.980     0       -15.8     -16.1       1.9430     0.0016     1.8960     0.0015    0.04697    0.00006 
   11.985     0       -15.6     -15.9       1.9307     0.0006     1.8905     0.0032    0.04017    0.00367 
   11.990     0       -16.2     -16.6       1.9060     0.0037     1.8714     0.0083    0.03560    0.00354 
   12.005     0       -15.7     -16.1       1.9288     0.0083     1.8896     0.0097    0.03923    0.00135 
   12.010     0       -15.9     -16.2       1.9709     0.0027     1.9215     0.0027    0.04943    0.00021 
   12.015     0       -15.9     -16.2       1.9860     0.0012     1.9347     0.0007    0.05137    0.00051 
   12.020     0       -16.0     -16.3       1.9838     0.0018     1.9356     0.0012    0.04820    0.00056 
   12.025     0       -15.8     -16.0       1.9739     0.0015     1.9276     0.0018    0.04630    0.00035 
   12.030     0       -15.9     -16.1       1.9571     0.0009     1.9129     0.0009    0.04423    0.00006 
   12.035     0       -15.7     -15.8       1.9389     0.0016     1.8964     0.0016    0.04247    0.00067 
   12.040     0       -16.1     -16.2       1.9383     0.0011     1.8940     0.0010    0.04423    0.00061 
   12.045     0       -15.9     -16.0       1.9404     0.0021     1.8973     0.0017    0.04313    0.00057 
   12.050     0       -15.6     -15.6       1.9468     0.0009     1.9035     0.0006    0.04330    0.00040 
   12.055     0       -15.6     -15.7       1.9458     0.0008     1.9047     0.0006    0.04117    0.00021 
   12.060     0       -15.5     -15.5       1.9473     0.0007     1.9087     0.0006    0.03863    0.00110 
   12.065     0       -15.8     -15.8       1.9420     0.0015     1.9053     0.0009    0.03663    0.00121 
   12.070     0       -15.9     -15.9       1.9303     0.0025     1.8943     0.0033    0.03597    0.00200 
   12.075     0       -15.8     -15.8       1.9286     0.0010     1.8898     0.0008    0.03873    0.00163 
   12.080     0       -15.9     -15.9       1.9335     0.0011     1.8889     0.0013    0.04467    0.00159 
   12.085     0       -15.7     -15.6       1.9420     0.0002     1.8933     0.0003    0.04873    0.00045 
   12.090     0       -15.9     -15.8       1.9558     0.0011     1.9065     0.0003    0.04927    0.00087 
   12.095     0       -15.9     -16.0       1.9726     0.0017     1.9256     0.0006    0.04697    0.00115 
   12.100     0       -15.8     -16.0       1.9873     0.0028     1.9417     0.0013    0.04557    0.00152 
   12.105     0       -15.7     -16.0       1.9971     0.0031     1.9502     0.0019    0.04693    0.00125 
   12.110     0       -15.8     -16.1       2.0057     0.0019     1.9536     0.0010    0.05207    0.00091 
   12.115     0       -15.7     -16.0       2.0097     0.0011     1.9529     0.0006    0.05683    0.00055 
   12.120     0       -15.5     -15.8       2.0094     0.0011     1.9512     0.0006    0.05827    0.00060 
   12.125     0       -15.7     -16.1       2.0055     0.0014     1.9508     0.0009    0.05470    0.00072 
   12.130     0       -15.6     -16.0       1.9979     0.0011     1.9478     0.0004    0.05013    0.00091 
   12.135     0       -15.6     -16.0       1.9825     0.0007     1.9365     0.0007    0.04600    0.00010 
   12.140     0       -15.6     -16.0       1.9594     0.0004     1.9160     0.0006    0.04337    0.00100 
   12.310     32      -14.0     -14.0       1.9512     0.0039     1.9164     0.0050    0.03480    0.00121 
   12.320     32      -14.1     -14.1       1.9405     0.0005     1.9069     0.0024    0.03360    0.00288 
   12.330     32      -14.1     -14.1       1.9396     0.0053     1.9043     0.0026    0.03533    0.00329 
   12.340     32      -14.0     -14.0       1.9294     0.0013     1.9040     0.0019    0.02537    0.00181 
   12.350     32      -14.0     -14.0       1.9401     0.0008     1.9141     0.0012    0.02603    0.00055 
   12.360     32      -14.1     -14.1       1.9373     0.0026     1.9064     0.0045    0.03097    0.00241 
   12.370     32      -14.2     -14.2       1.9312     0.0024     1.8983     0.0064    0.03290    0.00406 
   12.380     32      -14.2     -14.2       1.9269     0.0029     1.9005     0.0042    0.02640    0.00137 
   12.390     32      -14.2     -14.2       1.9257     0.0022     1.8985     0.0005    0.02720    0.00182 
   12.400     32      -14.1     -14.1       1.9569     0.0025     1.9168     0.0008    0.04010    0.00214 
   12.410     32      -14.2     -14.2       1.9759     0.0014     1.9252     0.0021    0.05067    0.00093 
   12.420     32      -14.2     -14.2       1.9747     0.0034     1.9244     0.0045    0.05027    0.00137 
   12.430     32      -14.1     -14.1       1.9729     0.0018     1.9210     0.0028    0.05190    0.00115 
   12.440     32      -14.1     -14.1       1.9665     0.0011     1.9112     0.0028    0.05527    0.00174 
   12.450     32      -14.2     -14.2       1.9665     0.0008     1.9109     0.0025    0.05553    0.00202 
   12.460     32      -14.1     -14.1       1.9724     0.0018     1.9210     0.0027    0.05140    0.00108 
   12.470     32      -14.0     -14.0       1.9643     0.0037     1.9177     0.0041    0.04667    0.00146 
   12.480     32      -14.3     -14.3       1.9464     0.0047     1.9028     0.0051    0.04360    0.00926 
   12.560     33      -14.3     -14.3       1.9987     0.0009     1.9310     0.0006    0.06767    0.00081 
   12.570     33      -14.5     -14.5       1.9910     0.0059     1.9230     0.0038    0.06800    0.00217 
   12.580     33      -14.3     -14.3       1.9812     0.0035     1.9150     0.0005    0.06627    0.00295 
   12.590     33      -14.2     -14.2       1.9629     0.0029     1.9077     0.0032    0.05517    0.00597 
   12.600     33      -14.0     -14.0       1.9463     0.0073     1.8903     0.0068    0.05593    0.00099 
   12.610     33      -13.7     -13.7       1.9441     0.0081     1.8864     0.0062    0.05777    0.00186 
   12.620     33      -14.3     -14.3       1.9621     0.0005     1.9045     0.0020    0.05760    0.00176 
   12.630     33      -14.3     -14.3       1.9692     0.0042     1.9226     0.0014    0.04660    0.00297 
   12.640     33      -14.3     -14.3       1.9849     0.0028     1.9368     0.0015    0.04810    0.00261 
   12.650     33      -14.3     -14.3       2.0022     0.0022     1.9501     0.0017    0.05210    0.00295 
   12.660     33      -14.2     -14.2       1.9989     0.0016     1.9539     0.0011    0.04503    0.00170 
   12.670     33      -14.2     -14.2       1.9712     0.0047     1.9293     0.0014    0.04190    0.00346 
   12.680     33      -14.2     -14.2       1.9751     0.0015     1.9286     0.0026    0.04650    0.00382 
   12.690     33      -14.3     -14.3       1.9667     0.0018     1.9152     0.0017    0.05147    0.00290 
   12.700     33      -14.2     -14.2       1.9558     0.0058     1.9069     0.0052    0.04890    0.00128 
   12.710     33      -14.3     -14.3       1.9902     0.0007     1.9452     0.0002    0.04500    0.00085 
   12.720     33      -14.2     -14.2       1.9924     0.0010     1.9457     0.0010    0.04673    0.00169 
   12.805     33      -15.6     -15.9       1.8046     0.0053     1.7758     0.0057    0.02877    0.00049 
   12.810     33      -15.6     -15.9       1.8217     0.0009     1.7919     0.0022    0.02983    0.00291 
   12.815     33      -15.5     -15.8       1.8168     0.0008     1.7875     0.0022    0.02930    0.00147 
   12.820     33      -15.7     -16.1       1.8129     0.0028     1.7826     0.0024    0.03030    0.00122 
   12.825     33      -15.9     -16.2       1.8140     0.0017     1.7797     0.0039    0.03437    0.00552 
   12.865     33      -15.8     -16.0       1.8880     0.0001     1.8500     0.0004    0.03793    0.00029 
   12.870     33      -15.8     -16.0       1.8908     0.0014     1.8513     0.0023    0.03957    0.00148 
   12.875     33      -16.0     -16.1       1.8987     0.0008     1.8547     0.0008    0.04397    0.00031 
   12.880     33      -15.8     -15.9       1.9109     0.0003     1.8620     0.0009    0.04887    0.00055 
   12.885     33      -15.8     -15.9       1.9244     0.0009     1.8753     0.0013    0.04913    0.00051 
   12.890     33      -16.1     -16.2       1.9347     0.0010     1.8862     0.0009    0.04843    0.00015 
   12.895     33      -15.8     -15.8       1.9380     0.0016     1.8900     0.0015    0.04800    0.00017 
   12.900     33      -15.6     -15.6       1.9402     0.0009     1.8915     0.0008    0.04870    0.00010 
   12.905     33      -15.7     -15.7       1.9403     0.0030     1.8899     0.0020    0.05040    0.00157 
   12.910     33      -15.9     -15.9       1.9477     0.0011     1.8972     0.0011    0.05053    0.00032 
   12.915     33      -15.9     -15.9       1.9475     0.0008     1.8974     0.0011    0.05013    0.00067 
   12.920     33      -16.0     -15.9       1.9400     0.0011     1.8936     0.0012    0.04633    0.00025 
   12.925     33      -15.6     -15.5       1.9384     0.0003     1.8940     0.0007    0.04437    0.00098 
